Month,Year,wellme,Discharge,TRMM,LST,Vegetation,Canopy,SoilMoisture,SWE,Thickness,Conductivity,Lat,Long,GRACE_TWSA,GWLA,DGWL_m
1,2003,SWS,26.768768,14.085055,-3.702778,0.530351,0.200556,658.684543,0,58.73428647,22.05608377,38.652613,-90.122262,-17.416337,,
1,2004,Barry,26.17626561,48.18274548,-4.438369515,0.001924503,0.157385247,588.2084921,0.060234027,67.27772721,32.54321969,39.75778929,-90.622262,3.487572,1273.066473,2.2951
1,2004,Bellville,33.46032028,112.7578168,-0.544318896,1.622389415,0.156051185,582.8622614,0.027998947,53.08873159,25.26244164,38.52109241,-89.78808772,40.420342,1175.411414,0.2924
1,2004,BigBend,21.695637,27.824366,-10.142778,0.007548,0.169711,523.316077,0.022756,151.7032217,74.76601622,41.652613,-90.122262,-34.638834,,
1,2004,Bondville,32.805408,62.555095,-5.788333,0.173611,0.333667,610.144138,0.017067,182.2472101,34.22539457,40.152613,-88.372262,-3.559213,702.5065377,0.7252
1,2004,Boyleston,37.633297,114.215853,-3.691389,1.967155,0.193022,631.825921,0.007111,43.27882995,10.62352593,38.402613,-88.372262,50.698879,486.0387692,0.7681
1,2004,Brownstown,33.761864,110.441107,-4.288333,0.046274,0.196367,605.972758,0.061156,54.07055919,8.007969684,38.902613,-88.872262,50.698879,452.6439382,0.5081
1,2004,Carbondale,31.88016475,89.02354706,-1.039271238,2.543556948,0.163004812,530.0525127,0.083916163,43.86753473,8.636314476,37.74240261,-89.24478017,58.088802,925.4327261,0.7192
1,2004,CrystalLake,18.86451,41.817268,-9.657222,0,0.247,602.441379,0.180622,197.443757,31.88488981,42.152613,-88.372262,-39.034641,-499.0956226,1.9721
1,2004,Dekalb,19.503864,33.394729,-12.964722,0,0.198956,574.709486,0.098133,138.3924483,28.95619436,41.902613,-88.872262,-21.702071,63.29838695,0.9729
1,2004,DixonSprings,38.09057291,106.6427198,-1.321839014,7.525134896,0.185538787,505.8988579,0.068790688,21.01098864,,37.69445165,-88.63451125,68.08697,919.8525333,0.4633
1,2004,Fairfield,37.633297,114.215853,-3.691389,1.967155,0.193022,631.825921,0.007111,43.27882995,10.62352593,38.402613,-88.372262,50.698879,677.1320984,0.3838
1,2004,Fermi,29.09228658,33.12803967,-10.98254079,0.103537826,0.227468116,581.7650579,0.081190041,98.32130839,42.48972681,41.81105877,-88.25284525,-21.702071,-136.5273962,2.3774
1,2004,Freeport,20.69220647,26.40237067,-10.8487115,0.282979373,0.243954275,561.4936414,0.219775664,94.26013615,35.06365524,42.27922281,-89.71351458,-46.038092,,
1,2004,Gale,18.451245,22.845829,-11.103333,0,0.217167,534.888692,0.173511,113.6952927,6.183636749,42.402613,-90.372262,-50.910092,-448.6866207,6.7879
1,2004,GoodHope,19.297062,21.983932,-6.475,0,0.144344,598.073744,0.0128,82.22838505,15.52540707,40.652613,-90.622262,-13.778708,551.5121538,1.3625
1,2004,Greenfield,22.83896238,78.74113566,-3.00630141,0.05342553,0.191088337,627.7395696,0.028003209,59.30343667,12.16386144,39.31818397,-90.22482828,8.142459,967.4710588,3.0114
1,2004,Janesville,36.52188887,119.6427518,-4.844804661,0.065671361,0.246593578,600.0095862,0.045502169,78.83670822,20.97618431,39.32451932,-88.2401593,20.660149,662.5814118,1.0058
1,2004,Kilbourne,30.885663,34.216089,-5.558611,0.875604,0.223644,561.812781,0.071111,157.8064065,67.65506536,40.152613,-90.122262,-13.778708,,
1,2004,Monmouth,19.31425621,27.01490535,-6.313540746,0,0.14583719,578.8384409,0.013897761,83.93360094,14.78721648,40.91261418,-90.58640341,-13.778708,474.6435956,2.6571
